AttendanceID,StudentID,LessonID,Date,LessonName,StartTime,Status,Attended,ArrivalTime,Notes
1-2,1,2,2026-01-06,Phonics,09:00,Present,True,,
1-4,1,4,2026-01-06,Maths,10:00,Present,True,,
1-6,1,6,2026-01-06,English,11:00,Present,True,,
1-8,1,8,2026-01-06,Science,13:00,Present,True,,
1-10,1,10,2026-01-06,PE,13:45,Authorised Absence,False,,Family commitment
1-12,1,12,2026-01-06,Art & Craft,14:30,Absent,False,,
1-26,1,26,2026-01-07,Phonics,09:00,Present,True,,
1-28,1,28,2026-01-07,Maths,10:00,Present,True,,
1-30,1,30,2026-01-07,English,11:00,Authorised Absence,False,,Family commitment
1-32,1,32,2026-01-07,Science,13:00,Present,True,,
1-34,1,34,2026-01-07,PE,13:45,Authorised Absence,False,,Medical appointment
1-36,1,36,2026-01-07,Art & Craft,14:30,Present,True,,
1-50,1,50,2026-01-08,Phonics,09:00,Present,True,,
1-52,1,52,2026-01-08,Maths,10:00,Present,True,,
1-54,1,54,2026-01-08,English,11:00,Present,True,,
1-56,1,56,2026-01-08,Science,13:00,Present,True,,
1-58,1,58,2026-01-08,PE,13:45,Present,True,,
1-60,1,60,2026-01-08,Art & Craft,14:30,Absent,False,,
1-74,1,74,2026-01-09,Phonics,09:00,Authorised Absence,False,,Dental appointment
1-76,1,76,2026-01-09,Maths,10:00,Present,True,,
1-78,1,78,2026-01-09,English,11:00,Absent,False,,
1-80,1,80,2026-01-09,Science,13:00,Present,True,,
1-82,1,82,2026-01-09,PE,13:45,Present,True,,
1-84,1,84,2026-01-09,Art & Craft,14:30,Absent,False,,
1-98,1,98,2026-01-12,Phonics,09:00,Present,True,,
1-100,1,100,2026-01-12,Maths,10:00,Absent,False,,
1-102,1,102,2026-01-12,English,11:00,Present,True,,
1-104,1,104,2026-01-12,Science,13:00,Authorised Absence,False,,Doctor visit
1-106,1,106,2026-01-12,PE,13:45,Absent,False,,
1-108,1,108,2026-01-12,Art & Craft,14:30,Present,True,,
1-122,1,122,2026-01-13,Phonics,09:00,Authorised Absence,False,,Family commitment
1-124,1,124,2026-01-13,Maths,10:00,Present,True,,
1-126,1,126,2026-01-13,English,11:00,Present,True,,
1-128,1,128,2026-01-13,Science,13:00,Present,True,,
1-130,1,130,2026-01-13,PE,13:45,Present,True,,
1-132,1,132,2026-01-13,Art & Craft,14:30,Present,True,,
1-146,1,146,2026-01-14,Phonics,09:00,Present,True,,
1-148,1,148,2026-01-14,Maths,10:00,Late,True,10:01,
1-150,1,150,2026-01-14,English,11:00,Present,True,,
1-152,1,152,2026-01-14,Science,13:00,Authorised Absence,False,,Family commitment
1-154,1,154,2026-01-14,PE,13:45,Present,True,,
1-156,1,156,2026-01-14,Art & Craft,14:30,Present,True,,
1-170,1,170,2026-01-15,Phonics,09:00,Present,True,,
1-172,1,172,2026-01-15,Maths,10:00,Present,True,,
1-174,1,174,2026-01-15,English,11:00,Present,True,,
1-176,1,176,2026-01-15,Science,13:00,Present,True,,
1-178,1,178,2026-01-15,PE,13:45,Present,True,,
1-180,1,180,2026-01-15,Art & Craft,14:30,Absent,False,,
1-194,1,194,2026-01-16,Phonics,09:00,Present,True,,
1-196,1,196,2026-01-16,Maths,10:00,Present,True,,
1-198,1,198,2026-01-16,English,11:00,Present,True,,
1-200,1,200,2026-01-16,Science,13:00,Present,True,,
1-202,1,202,2026-01-16,PE,13:45,Absent,False,,
1-204,1,204,2026-01-16,Art & Craft,14:30,Present,True,,
1-218,1,218,2026-01-19,Phonics,09:00,Late,True,09:15,
1-220,1,220,2026-01-19,Maths,10:00,Present,True,,
1-222,1,222,2026-01-19,English,11:00,Present,True,,
1-224,1,224,2026-01-19,Science,13:00,Late,True,13:04,
1-226,1,226,2026-01-19,PE,13:45,Present,True,,
1-228,1,228,2026-01-19,Art & Craft,14:30,Absent,False,,
1-242,1,242,2026-01-20,Phonics,09:00,Present,True,,
1-244,1,244,2026-01-20,Maths,10:00,Present,True,,
1-246,1,246,2026-01-20,English,11:00,Authorised Absence,False,,Doctor visit
1-248,1,248,2026-01-20,Science,13:00,Present,True,,
1-250,1,250,2026-01-20,PE,13:45,Present,True,,
1-252,1,252,2026-01-20,Art & Craft,14:30,Authorised Absence,False,,Medical appointment
1-266,1,266,2026-01-21,Phonics,09:00,Present,True,,
1-268,1,268,2026-01-21,Maths,10:00,Present,True,,
1-270,1,270,2026-01-21,English,11:00,Present,True,,
1-272,1,272,2026-01-21,Science,13:00,Present,True,,
1-274,1,274,2026-01-21,PE,13:45,Present,True,,
1-276,1,276,2026-01-21,Art & Craft,14:30,Present,True,,
1-290,1,290,2026-01-22,Phonics,09:00,Late,True,09:15,
1-292,1,292,2026-01-22,Maths,10:00,Present,True,,
1-294,1,294,2026-01-22,English,11:00,Present,True,,
1-296,1,296,2026-01-22,Science,13:00,Late,True,13:05,
1-298,1,298,2026-01-22,PE,13:45,Present,True,,
1-300,1,300,2026-01-22,Art & Craft,14:30,Authorised Absence,False,,Doctor visit
1-314,1,314,2026-01-23,Phonics,09:00,Present,True,,
1-316,1,316,2026-01-23,Maths,10:00,Present,True,,
1-318,1,318,2026-01-23,English,11:00,Present,True,,
1-320,1,320,2026-01-23,Science,13:00,Present,True,,
1-322,1,322,2026-01-23,PE,13:45,Present,True,,
1-324,1,324,2026-01-23,Art & Craft,14:30,Present,True,,
1-338,1,338,2026-01-26,Phonics,09:00,Present,True,,
1-340,1,340,2026-01-26,Maths,10:00,Present,True,,
1-342,1,342,2026-01-26,English,11:00,Present,True,,
1-344,1,344,2026-01-26,Science,13:00,Present,True,,
1-346,1,346,2026-01-26,PE,13:45,Present,True,,
1-348,1,348,2026-01-26,Art & Craft,14:30,Present,True,,
1-362,1,362,2026-01-27,Phonics,09:00,Present,True,,
1-364,1,364,2026-01-27,Maths,10:00,Present,True,,
1-366,1,366,2026-01-27,English,11:00,Late,True,11:04,
1-368,1,368,2026-01-27,Science,13:00,Present,True,,
1-370,1,370,2026-01-27,PE,13:45,Present,True,,
1-372,1,372,2026-01-27,Art & Craft,14:30,Authorised Absence,False,,Doctor visit
1-386,1,386,2026-01-28,Phonics,09:00,Present,True,,
1-388,1,388,2026-01-28,Maths,10:00,Present,True,,
1-390,1,390,2026-01-28,English,11:00,Absent,False,,
1-392,1,392,2026-01-28,Science,13:00,Present,True,,
1-394,1,394,2026-01-28,PE,13:45,Present,True,,
1-396,1,396,2026-01-28,Art & Craft,14:30,Present,True,,
1-410,1,410,2026-01-29,Phonics,09:00,Late,True,09:13,
1-412,1,412,2026-01-29,Maths,10:00,Present,True,,
1-414,1,414,2026-01-29,English,11:00,Present,True,,
1-416,1,416,2026-01-29,Science,13:00,Present,True,,
1-418,1,418,2026-01-29,PE,13:45,Authorised Absence,False,,Dental appointment
1-420,1,420,2026-01-29,Art & Craft,14:30,Present,True,,
1-434,1,434,2026-01-30,Phonics,09:00,Present,True,,
1-436,1,436,2026-01-30,Maths,10:00,Present,True,,
1-438,1,438,2026-01-30,English,11:00,Present,True,,
1-440,1,440,2026-01-30,Science,13:00,Present,True,,
1-442,1,442,2026-01-30,PE,13:45,Present,True,,
1-444,1,444,2026-01-30,Art & Craft,14:30,Present,True,,
1-458,1,458,2026-02-02,Phonics,09:00,Late,True,09:10,
1-460,1,460,2026-02-02,Maths,10:00,Present,True,,
1-462,1,462,2026-02-02,English,11:00,Present,True,,
1-464,1,464,2026-02-02,Science,13:00,Absent,False,,
1-466,1,466,2026-02-02,PE,13:45,Present,True,,
1-468,1,468,2026-02-02,Art & Craft,14:30,Present,True,,
1-482,1,482,2026-02-03,Phonics,09:00,Present,True,,
1-484,1,484,2026-02-03,Maths,10:00,Late,True,10:15,
1-486,1,486,2026-02-03,English,11:00,Present,True,,
1-488,1,488,2026-02-03,Science,13:00,Late,True,13:04,
1-490,1,490,2026-02-03,PE,13:45,Present,True,,
1-492,1,492,2026-02-03,Art & Craft,14:30,Present,True,,
1-506,1,506,2026-02-04,Phonics,09:00,Late,True,09:13,
1-508,1,508,2026-02-04,Maths,10:00,Present,True,,
1-510,1,510,2026-02-04,English,11:00,Absent,False,,
1-512,1,512,2026-02-04,Science,13:00,Present,True,,
1-514,1,514,2026-02-04,PE,13:45,Present,True,,
1-516,1,516,2026-02-04,Art & Craft,14:30,Present,True,,
1-530,1,530,2026-02-05,Phonics,09:00,Present,True,,
1-532,1,532,2026-02-05,Maths,10:00,Absent,False,,
1-534,1,534,2026-02-05,English,11:00,Present,True,,
1-536,1,536,2026-02-05,Science,13:00,Present,True,,
1-538,1,538,2026-02-05,PE,13:45,Late,True,13:58,
1-540,1,540,2026-02-05,Art & Craft,14:30,Absent,False,,
1-554,1,554,2026-02-06,Phonics,09:00,Present,True,,
1-556,1,556,2026-02-06,Maths,10:00,Present,True,,
1-558,1,558,2026-02-06,English,11:00,Present,True,,
1-560,1,560,2026-02-06,Science,13:00,Present,True,,
1-562,1,562,2026-02-06,PE,13:45,Absent,False,,
1-564,1,564,2026-02-06,Art & Craft,14:30,Present,True,,
1-578,1,578,2026-02-09,Phonics,09:00,Authorised Absence,False,,Family commitment
1-580,1,580,2026-02-09,Maths,10:00,Present,True,,
1-582,1,582,2026-02-09,English,11:00,Authorised Absence,False,,Doctor visit
1-584,1,584,2026-02-09,Science,13:00,Present,True,,
1-586,1,586,2026-02-09,PE,13:45,Present,True,,
1-588,1,588,2026-02-09,Art & Craft,14:30,Present,True,,
1-602,1,602,2026-02-10,Phonics,09:00,Present,True,,
1-604,1,604,2026-02-10,Maths,10:00,Present,True,,
1-606,1,606,2026-02-10,English,11:00,Absent,False,,
1-608,1,608,2026-02-10,Science,13:00,Late,True,13:05,
1-610,1,610,2026-02-10,PE,13:45,Present,True,,
1-612,1,612,2026-02-10,Art & Craft,14:30,Present,True,,
1-626,1,626,2026-02-11,Phonics,09:00,Late,True,09:11,
1-628,1,628,2026-02-11,Maths,10:00,Present,True,,
1-630,1,630,2026-02-11,English,11:00,Absent,False,,
1-632,1,632,2026-02-11,Science,13:00,Present,True,,
1-634,1,634,2026-02-11,PE,13:45,Late,True,13:46,
1-636,1,636,2026-02-11,Art & Craft,14:30,Present,True,,
1-650,1,650,2026-02-12,Phonics,09:00,Present,True,,
1-652,1,652,2026-02-12,Maths,10:00,Present,True,,
1-654,1,654,2026-02-12,English,11:00,Present,True,,
1-656,1,656,2026-02-12,Science,13:00,Present,True,,
1-658,1,658,2026-02-12,PE,13:45,Present,True,,
1-660,1,660,2026-02-12,Art & Craft,14:30,Absent,False,,
1-674,1,674,2026-02-13,Phonics,09:00,Late,True,09:12,
1-676,1,676,2026-02-13,Maths,10:00,Late,True,10:07,
1-678,1,678,2026-02-13,English,11:00,Present,True,,
1-680,1,680,2026-02-13,Science,13:00,Present,True,,
1-682,1,682,2026-02-13,PE,13:45,Absent,False,,
1-684,1,684,2026-02-13,Art & Craft,14:30,Present,True,,
1-698,1,698,2026-02-16,Phonics,09:00,Present,True,,
1-700,1,700,2026-02-16,Maths,10:00,Present,True,,
1-702,1,702,2026-02-16,English,11:00,Absent,False,,
1-704,1,704,2026-02-16,Science,13:00,Present,True,,
1-706,1,706,2026-02-16,PE,13:45,Present,True,,
1-708,1,708,2026-02-16,Art & Craft,14:30,Present,True,,
2-1,2,1,2026-01-06,Phonics,09:00,Present,True,,
2-3,2,3,2026-01-06,Maths,10:00,Late,True,10:07,
2-5,2,5,2026-01-06,English,11:00,Present,True,,
2-7,2,7,2026-01-06,Science,13:00,Late,True,13:10,
2-9,2,9,2026-01-06,PE,13:45,Late,True,13:56,
2-11,2,11,2026-01-06,Art & Craft,14:30,Present,True,,
2-25,2,25,2026-01-07,Phonics,09:00,Present,True,,
2-27,2,27,2026-01-07,Maths,10:00,Present,True,,
2-29,2,29,2026-01-07,English,11:00,Present,True,,
2-31,2,31,2026-01-07,Science,13:00,Absent,False,,
2-33,2,33,2026-01-07,PE,13:45,Late,True,13:52,
2-35,2,35,2026-01-07,Art & Craft,14:30,Present,True,,
2-49,2,49,2026-01-08,Phonics,09:00,Present,True,,
2-51,2,51,2026-01-08,Maths,10:00,Present,True,,
2-53,2,53,2026-01-08,English,11:00,Present,True,,
2-55,2,55,2026-01-08,Science,13:00,Absent,False,,
2-57,2,57,2026-01-08,PE,13:45,Absent,False,,
2-59,2,59,2026-01-08,Art & Craft,14:30,Present,True,,
2-73,2,73,2026-01-09,Phonics,09:00,Present,True,,
2-75,2,75,2026-01-09,Maths,10:00,Absent,False,,
2-77,2,77,2026-01-09,English,11:00,Present,True,,
